iter	Passed	Remaining
361	7081	12479
362	7100	12460
363	7120	12440
364	7138	12419
365	7160	12403
366	7180	12384
367	7200	12365
368	7222	12350
369	7245	12336
370	7266	12319
371	7286	12300
372	7307	12283
373	7328	12266
374	7347	12245
375	7365	12224
376	7383	12201
377	7402	12180
378	7423	12162
379	7442	12143
380	7463	12125
381	7481	12102
382	7500	12083
383	7520	12064
384	7538	12042
385	7557	12021
386	7578	12003
387	7598	11985
388	7618	11966
389	7637	11946
390	7659	11930
391	7678	11910
392	7699	11891
393	7720	11874
394	7737	11850
395	7756	11831
396	7775	11810
397	7793	11788
398	7812	11768
399	7831	11747
400	7849	11726
401	7869	11706
402	7888	11685
403	7908	11666
404	7930	11650
405	7950	11631
406	7970	11612
407	7990	11594
408	8009	11573
409	8028	11552
410	8048	11534
411	8069	11516
412	8089	11498
413	8110	11480
414	8130	11461
415	8150	11442
416	8170	11422
417	8190	11404
418	8210	11384
419	8233	11369
420	8252	11349
421	8271	11329
422	8291	11309
423	8310	11289
424	8331	11271
425	8350	11252
426	8370	11232
427	8388	11211
428	8406	11189
429	8426	11170
430	8447	11152
431	8471	11138
432	8493	11122
433	8515	11105
434	8534	11084
435	8553	11064
436	8571	11043
437	8590	11022
438	8609	11002
439	8627	10980
440	8646	10959
441	8665	10940
442	8684	10919
443	8707	10903
444	8725	10882
445	8743	10860
446	8761	10838
447	8778	10816
448	8796	10794
449	8813	10772
450	8830	10749
451	8849	10728
452	8867	10707
453	8885	10685
454	8902	10663
455	8920	10641
456	8938	10620
457	8956	10598
458	8975	10578
459	8995	10559
460	9013	10538
461	9033	10519
462	9051	10497
463	9070	10477
464	9089	10457
465	9108	10438
466	9126	10415
467	9144	10395
468	9163	10375
469	9182	10354
470	9201	10335
471	9222	10316
472	9239	10294
473	9258	10273
474	9276	10252
475	9293	10231
476	9310	10208
477	9328	10187
478	9348	10168
479	9367	10148
480	9388	10129
481	9408	10111
482	9428	10091
483	9450	10075
484	9474	10060
485	9497	10044
486	9520	10028
487	9541	10010
488	9563	9994
489	9581	9972
490	9599	9951
491	9618	9931
492	9637	9910
493	9656	9890
494	9675	9870
495	9693	9850
496	9717	9835
497	9736	9815
498	9754	9794
499	9772	9772
500	9790	9751
501	9807	9729
502	9826	9709
503	9844	9688
504	9862	9667
505	9881	9647
506	9901	9627
507	9919	9607
508	9938	9587
509	9957	9567
510	9976	9547
511	9996	9527
512	10015	9508
513	10035	9488
514	10052	9466
515	10071	9446
516	10089	9425
517	10107	9405
518	10128	9386
519	10147	9367
520	10166	9347
521	10186	9327
522	10204	9307
523	10225	9289
524	10245	9269
525	10264	9249
526	10281	9228
527	10298	9206
528	10316	9185
529	10333	9163
530	10351	9143
531	10370	9123
532	10388	9102
533	10407	9082
534	10425	9061
535	10443	9040
536	10463	9021
537	10482	9001
538	10501	8981
539	10519	8961
540	10537	8939
541	10555	8919
542	10574	8899
543	10593	8879
544	10612	8860
545	10631	8840
546	10650	8819
547	10668	8799
548	10687	8779
549	10713	8765
550	10732	8745
551	10752	8726
552	10772	8707
553	10790	8687
554	10809	8667
555	10827	8646
556	10846	8626
557	10864	8605
558	10881	8584
559	10901	8565
560	10922	8547
561	10941	8527
562	10961	8508
563	10980	8488
564	10999	8468
565	11019	8449
566	11038	8429
567	11057	8410
568	11076	8389
569	11096	8371
570	11116	8352
571	11135	8332
572	11156	8313
573	11176	8294
574	11194	8274
575	11215	8255
576	11234	8235
577	11253	8215
578	11274	8197
579	11293	8178
580	11312	8158
581	11330	8138
582	11349	8118
583	11368	8098
584	11386	8077
585	11405	8057
586	11422	8036
587	11441	8016
588	11460	7997
589	11481	7978
590	11501	7959
591	11521	7940
592	11540	7920
593	11559	7900
594	11578	7881
595	11597	7861
596	11616	7841
597	11633	7820
598	11653	7801
599	11671	7781
600	11691	7762
601	11712	7743
602	11730	7723
603	11748	7702
604	11767	7682
605	11785	7662
606	11803	7641
607	11821	7621
608	11839	7601
609	11858	7581
610	11876	7561
611	11895	7541
612	11913	7521
613	11930	7500
614	11948	7480
615	11966	7459
616	11982	7438
617	12001	7418
618	12020	7398
619	12037	7378
620	12054	7357
621	12072	7336
622	12090	7316
623	12106	7295
624	12124	7274
625	12142	7254
626	12159	7233
627	12177	7213
628	12198	7194
629	12216	7174
630	12233	7153
631	12251	7133
632	12274	7116
633	12305	7103
634	12332	7088
635	12357	7072
636	12382	7056
637	12408	7040
638	12436	7025
639	12460	7008
640	12483	6991
641	12508	6975
642	12534	6959
643	12559	6942
644	12584	6926
645	12609	6909
646	12634	6893
647	12659	6876
648	12685	6860
649	12716	6847
650	12741	6830
651	12767	6814
652	12795	6799
653	12821	6783
654	12846	6766
655	12871	6749
656	12898	6734
657	12924	6717
658	12949	6700
659	12974	6684
660	12999	6667
661	13026	6650
662	13052	6634
663	13077	6617
664	13102	6600
665	13128	6584
666	13155	6567
667	13186	6553
668	13216	6539
669	13249	6525
670	13279	6511
671	13309	6496
672	13339	6481
673	13365	6464
674	13392	6448
675	13439	6441
676	13472	6428
677	13502	6412
678	13534	6398
679	13566	6384
680	13593	6367
681	13619	6350
682	13646	6333
683	13672	6316
684	13707	6303
685	13734	6286
686	13763	6270
687	13790	6253
688	13817	6236
689	13844	6220
690	13871	6203
691	13898	6185
692	13925	6168
693	13950	6151
694	13977	6133
695	14005	6117
696	14032	6100
697	14061	6083
698	14102	6072
699	14130	6056
700	14156	6038
701	14183	6021
702	14208	6002
703	14237	5986
704	14265	5969
705	14296	5953
706	14326	5937
707	14356	5921
708	14379	5902
709	14398	5881
710	14416	5859
711	14435	5839
712	14455	5818
713	14475	5798
714	14494	5777
715	14514	5757
716	14533	5736
717	14553	5715
718	14571	5694
719	14589	5673
720	14608	5652
721	14625	5631
722	14643	5610
723	14662	5589
724	14681	5568
725	14703	5549
726	14720	5527
727	14737	5506
728	14754	5484
729	14778	5466
730	14797	5445
731	14813	5423
732	14832	5402
733	14850	5381
734	14867	5360
735	14885	5339
736	14903	5318
737	14921	5297
738	14939	5276
739	14957	5255
740	14974	5233
741	14992	5213
742	15011	5192
743	15030	5171
744	15048	5150
745	15067	5130
746	15086	5109
747	15105	5088
748	15122	5067
749	15140	5046
750	15157	5025
751	15174	5004
752	15192	4983
753	15209	4962
754	15227	4941
755	15246	4920
756	15263	4899
757	15280	4878
758	15298	4857
759	15315	4836
760	15332	4815
761	15350	4794
762	15367	4773
763	15384	4752
764	15402	4731
765	15421	4710
766	15441	4690
767	15461	4670
768	15478	4649
769	15495	4628
770	15512	4607
771	15530	4586
772	15550	4566
773	15568	4545
774	15585	4524
775	15605	4504
776	15623	4484
777	15643	4463
778	15661	4443
779	15681	4422
780	15704	4403
781	15721	4382
782	15739	4361
783	15758	4341
784	15777	4321
785	15796	4300
786	15814	4280
787	15832	4259
788	15852	4239
789	15870	4218
790	15888	4198
791	15907	4177
792	15925	4157
793	15946	4137
794	15969	4117
795	15991	4098
796	16015	4079
797	16035	4059
798	16055	4038
799	16074	4018
800	16093	3998
801	16113	3978
802	16131	3957
803	16153	3937
804	16176	3918
805	16197	3898
806	16219	3878
807	16238	3858
808	16257	3838
809	16277	3818
810	16298	3798
811	16317	3777
812	16338	3757
813	16359	3738
814	16379	3718
815	16398	3697
816	16417	3677
817	16437	3657
818	16457	3637
819	16475	3616
820	16493	3596
821	16513	3575
822	16533	3555
823	16552	3535
824	16571	3515
825	16589	3494
826	16607	3474
827	16625	3453
828	16643	3433
829	16661	3412
830	16678	3391
831	16699	3371
832	16715	3351
833	16732	3330
834	16749	3309
835	16766	3289
836	16783	3268
837	16801	3248
838	16820	3227
839	16837	3207
840	16854	3186
841	16872	3166
842	16891	3145
843	16909	3125
844	16927	3104
845	16944	3084
846	16962	3064
847	16978	3043
848	16996	3022
849	17013	3002
850	17032	2982
851	17049	2961
852	17067	2941
853	17085	2920
854	17102	2900
855	17119	2879
856	17138	2859
857	17155	2839
858	17174	2819
859	17192	2798
860	17210	2778
861	17227	2757
862	17244	2737
863	17262	2717
864	17279	2696
865	17296	2676
866	17314	2656
867	17331	2635
868	17349	2615
869	17368	2595
870	17386	2575
871	17402	2554
872	17420	2534
873	17447	2515
874	17473	2496
875	17498	2476
876	17525	2457
877	17552	2438
878	17583	2420
879	17613	2401
880	17644	2383
881	17673	2364
882	17709	2346
883	17738	2327
884	17766	2308
885	17791	2289
886	17821	2270
887	17850	2251
888	17868	2231
889	17889	2211
890	17922	2192
891	17958	2174
892	17991	2155
893	18024	2137
894	18054	2118
895	18086	2099
896	18116	2080
897	18145	2061
898	18169	2041
899	18196	2021
900	18222	2002
901	18248	1982
902	18273	1962
903	18299	1943
904	18324	1923
905	18349	1903
906	18379	1884
907	18410	1865
908	18438	1845
909	18460	1825
910	18479	1805
911	18498	1784
912	18516	1764
913	18535	1744
914	18553	1723
915	18571	1703
916	18594	1683
917	18617	1662
918	18638	1642
919	18657	1622
920	18680	1602
921	18700	1582
922	18720	1561
923	18738	1541
924	18756	1520
925	18776	1500
926	18797	1480
927	18816	1459
928	18835	1439
929	18854	1419
930	18874	1398
931	18892	1378
932	18910	1357
933	18929	1337
934	18947	1317
935	18967	1296
936	18986	1276
937	19006	1256
938	19024	1235
939	19043	1215
940	19062	1195
941	19080	1174
942	19100	1154
943	19118	1134
944	19137	1113
945	19155	1093
946	19173	1073
947	19191	1052
948	19208	1032
949	19227	1011
950	19244	991
951	19262	971
952	19280	950
953	19298	930
954	19315	910
955	19333	889
956	19351	869
957	19370	849
958	19388	828
959	19405	808
960	19425	788
961	19444	768
962	19461	747
963	19478	727
964	19496	707
965	19513	686
966	19530	666
967	19548	646
968	19566	625
969	19583	605
970	19601	585
971	19618	565
972	19635	544
973	19654	524
974	19674	504
975	19697	484
976	19716	464
977	19733	443
978	19753	423
979	19772	403
980	19790	383
981	19808	363
982	19827	342
983	19846	322
984	19866	302
985	19885	282
986	19903	262
987	19922	241
988	19940	221
989	19958	201
990	19976	181
991	19995	161
992	20014	141
993	20032	120
994	20052	100
995	20073	80
996	20093	60
997	20112	40
998	20133	20
999	20155	0
